keyword,count
chief information officers,2
IT security,2
Cloud,2
SaaS,2
RFID,2
Technology adoption,2
enterprise architecture,2
Followers,2
Responsibility,2
Research,2
Information and Communications Technology (ICT),2
chief information officer (CIO),2
Hospital,2
Software development,2
big data,2
Decision-making,2
Blockchain,2
Chief executive officer,2
Artificial Intelligence,2
Local Government,2
Group decision-making,2
CEO characteristics,2
corporate governance,2
IR4.0 adoption,2
IOWN APN,2
system development,2
Information security risk management,2
Information literacy,2
IT services,2
Management training,2
IT professionals,2
Chief information officer role,2
Hierarchical models,2
Partial Least Squares (PLS),2
Psychometric properties,2
Open source software,2
Higher Education,2
Internet of Things,2
Agency theory,2
IS Leadership,2
Strategic Management,2
Top Management,2
Information technology (IT),2
Survival,2
chief digital officer,2
E-Service Quality,2
Career Progression,2
Fortune 500,2
LinkedIn,2
Executive compensation,2
Disruptive technologies,2
Information Technology Strategic Planning,2
Remote Collaboration,2
State Chief Information Officers,2
board of directors,2
Board of Directors,2
Enterprise resource planning,2
ERP success,2
Organizational impact,2
Intention to stay,2
Role of IT,2
Chief information office,2
CIO reporting structure,2
IT risk management,2
Scale development,2
Digital literacy,2
IT strategic alignment,2
Organizational structure,2
Activities,2
competence,2
framework,2
profile,2
Enterprise systems,2
Ethics,2
Digitalisation,2
Workplace,2
Architecture,2
Decision Making,2
Digital Business,2
Disruptive Technologies,2
information technology management,2
Expectation disconfirmation theory,2
Outsourcing success factors,2
Institutional theory,2
Structural Power,2
IT strategic planning,2
COVID-19,2
Pandemic,2
Digitalization,2
Cloud Computing,2
Upgrade,2
Upper echelons,2
Top management team (TMT),2
Interviews,2
Human capital,2
Perception,2
government chief information officer,2
IT organization,2
Evolution,2
Information Governance,2
IT competence,2
shared understanding,2
IT knowledge,2
Best practices,2
Data,2
Internet,2
Maturity Level,2
contingency theory,2
resource-based view,2
security,2
CIO role,2
Top Management Team,2
Institutional logic,2
Innovation performance,2
Remediation,2
IT Infrastructure,2
Business Model Innovation,2
Technological innovation,2
systems integration,2
Chief Information Security Officer (CISO),2
Analytics,2
Digitization,2
Government Chief Information Officer (GCIO),2
Public value,2
Education,2
Evaluation model,2
teaching cases,2
Brazil,2
Grounded theory,2
Cryptography,2
Event Study,2
Transactional leadership,2
Proprietary software,2
Qualitative Research,2
Conceptual framework,2
CIO evolution,2
CIO transformation,2
IT executive,2
Assessment,2
Evaluation,2
Portal,2
CIO (Chief Information Officer),2
Strategic IS planning,2
IT Value,2
Records management,2
Security assurance,2
structural power,2
Software as a service,2
Data security,2
Financial services,2
Power,2
CIO gender,2
Knowledge Sharing,2
Leadership style,2
Hofstede,2
ICT Leadership,2
IT function,2
IS strategic alignment,2
Computing,2
Reach,2
Richness,2
IT project management,2
ROI,2
CSF,2
Enterprise information systems,2
Europe,2
Firm size,2
Motivations,2
IT Capability Maturity Framework,2
IT outsourcing,2
Digital leadership,2
Executive roles and responsibilities,2
Success factors,2
Maturity model,2
Cluster analysis,2
Factor analysis,2
Spain,2
Job tenure,2
Balanced scorecard approach,2
Information and communication technology,2
IT-enabled business innovation,2
Executive influence,2
Strategic management of IT,2
Data mining,2
Manufacturing industry,2
Productivity,2
Productivity paradox,2
Service industry,2
Weka,2
Procedural justice,2
Manufacturing resource planning,2
Process management,2
Action research,2
Integration,2
Chief Financial Officer (CFO),2
Content analysis,2
Business Process,2
Public policy,2
It management,2
Holistic governance,2
Websites,2
IT alignment,2
Management techniques,2
Empirical research,2
Agile engineering,2
Business componentization,2
Business services,2
Information technology services,2
Service oriented business,2
Service oriented enterprise,2
Design science,2
Design science research,2
Process improvement,2
Curriculum design and development,2
Groupware,2
Information Systems Planning,2
Structural Equation Modeling,2
CIO failures,2
Managerial styles,2
Participative management,2
Quality circles,2
Theory X,2
Theory Z,2
Government,2
IT impact,2
Behavior,2
Information systems management,2
Information Systems,2
Large companies,2
Trends,2
GCIO system,2
Government chief information officer (GCIO),2
Eco-mobility society,2
Health,2
CIO appointments,2
Complexity,2
Healthcare,2
Healthcare interoperability framework,2
Model driven architecture (MDA),2
Business analytics,2
MBA,2
Information systems leadership,2
e-government,2
IS organization of the future,2
Electronic Government,2
IT managers,2
Job design,2
Australia,2
Chain information systems (CIS),2
Information technology management,2
Information technology leaders,2
Risk Analysis,2
Corporate governance,2
Recruitment,2
Stakeholders,2
Planning effectiveness,2
Multinational firms,2
knowledge management,2
Event study,2
IT assets,2
Information resource management,2
Structural equation models,2
Survey research/design,2
Strategic information systems,2
Cross-cultural,2
Management information systems,2
Information technology strategy,2
Rankings,2
Libraries,2
CEO/CIO communication,2
Communication frequency,2
Managerial communication,2
Media richness,2
Strategic information system management,2
Corporate Operations,1
Economic Modeling,1
Enterprise Security,1
Identity and Access Management,1
Investment Prioritization,1
CIO demand-side leadership,1
Measurement and knowledge management process,1
Big Five Personality Framework,1
IT Advancement,1
Organizational Hierarchy Depth,1
Interview-based exploratory mixed-method study,1
audit fees,1
internal control quality,1
Business process architecture,1
Riva method,1
srBPA,1
corporate strategy,1
Chief data officer,1
competitiveness,1
technology,1
Digital maturity,1
Sourcing decisions,1
Leadership framework,1
Mission,1
Objectives,1
business-minded,1
chief information security officer,1
cyber security,1
information risk,1
maturity,1
Adaptation,1
Dynamic managerial capabilities,1
chief data officers,1
chief digital officers,1
Digital Leadership,1
digital technologies,1
leadership transition,1
organizational socialization,1
role theory,1
IT management flexibility,1
Anomaly,1
Cloud Security,1
Hybrid,1
Intrusion Detection System,1
Signtaure,1
Is leadership,1
EHealth,1
General user satisfaction,1
Health informatics,1
Hospital IT,1
dispersed teams,1
media richness,1
Media synchronicity,1
social presence,1
virtual teams,1
Data security breaches,1
System use,1
User satisfaction,1
Business process management,1
Cyber Data Sharing,1
Cyber Threats,1
Cyber War Gaming,1
Cybersecurity Data Analytics,1
Cybersecurity Metrics,1
Financial Systems,1
Operational Risk,1
Risk Assessment,1
Security Testing,1
Systemic Vulnerabilities,1
Berlin Declaration,1
Public Administration (PA),1
Government chief data officer,1
Government data governance,1
Institutional mode of data governance,1
Opening government data,1
barriers,1
gender bias,1
women developers,1
Fixed price,1
Offshore outsourcing,1
Onshore outsourcing,1
Price per function point,1
Price per story point,1
CEO compensation,1
disclosure delays,1
firm profitability,1
AI orientation,1
Board diversity,1
Public firms,1
Digital knowledge coupling,1
Executive digital background,1
Firm ambidextrous innovation,1
Principal,1
Teacher development,1
Teacher learning,1
Environmental Communication,1
Government Communication Leadership,1
Social Readiness,1
The Ring of Fire,1
Strategic Leadership,1
IT procurement,1
Principal Agent Theory,1
Technical Specifications,1
Organizational design,1
Industry partnerships,1
Practice-based research,1
Behavioral Intention to Use,1
IT Capabilities,1
Online Learning Mechanisms,1
Configurational methods,1
IT reporting structure,1
Qualitative comparative analysis,1
Big data analytics capabilities,1
Management accountant,1
Organizational innovation performance,1
Process-oriented dynamic capabilities,1
influence,1
IT decision making,1
knowledge,1
political skill,1
Labour Power,1
Private Property,1
Total View,1
Work Process,1
Cloud-based communicable disease surveillance,1
Social exchange,1
Firms’ performance,1
Italian firms,1
Chief digital officer (CDO),1
Chief marketing officer (CMO),1
Data governance,1
General Data Protection Regulation (GDPR),1
Marketing data,1
Marketing technology,1
corporate performance,1
green IT strategies,1
regulatory focus,1
regulatory stakeholder influence,1
sustainable development,1
Expectation confirmation theory (ECT),1
IT outsourcing success,1
Partial least squares (PLS),1
Digital technology,1
IT portfolio,1
Polynomial regression,1
Response surface analysis,1
'benefits of IoT in businesses',1
'challenges of IoT in businesses',1
'conducting Literature Review',1
'e-tailing',1
'information systems',1
'Internet of Things',1
'potential benefits of IoT in retail businesses',1
'potential challenges of IoT in retail businesses',1
'the potential use of IoT in retail businesses',1
'the use of IoT in businesses',1
keywords that were used in the search included but not limited to,1
Board Dynamics,1
Empirical Study,1
Systematic Literature Analysis,1
application programming interfaces,1
Boundary resources,1
relational view,1
executives’ trades in a firm’s stock,1
information asymmetry,1
IT newness,1
senior executive,1
decision-making,1
small and medium enterprises,1
TOE framework,1
CIO System,1
Institutional Dilemmas,1
Personal characteristics,1
Corporate governance of information technology (CGIT),1
Resource-based theory (RBV),1
customer concentration,1
executive attention orientation,1
manufacturing firms,1
resource allocation,1
cybersecurity,1
data analytics,1
IaaS,1
IIoT,1
IoS,1
PaaS,1
eReadiness,1
Indonesia,1
Hospitals,1
TOE model,1
blended learning,1
engineering education,1
interdisciplinarity,1
agility,1
information technology strategic plan,1
Definition,1
Implication of Role of IT,1
Incubate Business,1
Enterprise technology research,1
Fear of missing out,1
Flexibility,1
Future of work,1
Hybrid working,1
Organizational policy,1
Work from home,1
Changing the Role of IT,1
LAPAN,1
AI,1
business leader,1
ITG and university,1
ITG in Malaysia,1
artificial neural network,1
corporate disclosure,1
digital integration,1
digital strategy,1
information disclosure,1
organisational efficiency,1
transparency,1
Complexity theory,1
Mixed-method,1
Lutheran and Christian leaders,1
pastors and bishops,1
women bishops,1
women in leadership,1
Organizational Learning,1
Text mining,1
CIO roles and capabilities,1
Fourth Industrial Revolution (4IR),1
Information Systems (IS),1
Theoretical literature synthesis,1
Corporate operations,1
Economic modeling,1
Enterprise security,1
Identity and access management,1
Investment prioritization,1
functional IT employees,1
Application systems,1
Information Management,1
It department,1
Itil,1
Management communication,1
Online survey,1
Circular economy,1
Energy industry,1
Food industry,1
Learning organization,1
Machine to machine,1
Mechanical engineering,1
Production processes,1
Energy efficient software,1
Green software,1
Software economics,1
Software engineering,1
Software post-development issues,1
Software sustainability,1
customer experience,1
policy analysis,1
public management,1
public organizations,1
CIO hierarchical position,1
ICT literacy,1
foundational capability building blocks,1
IT/digital capability,1
IT/digital maturity,1
maturity model,1
Mathematical model,1
Multiple criteria,1
Literature Review,1
Strategic Agility,1
Strategic Change,1
Big Medical Data,1
Cyber Security,1
Data Analyzing,1
Jordan Hospitals,1
bitcoin,1
scalability,1
Big Data Governance,1
bring your own device,1
BYOD information security behavioural model,1
information security culture,1
unintended administrator,1
Chief information officer compensation,1
Topic modeling,1
Wireless and mobile strategy,1
Ransomware,1
Security breach,1
Teaching case study,1
Business value from IT,1
Information leadership,1
Structural mechanisms,1
Exploratory research,1
Technological frames,1
Citizen Participation,1
Comprehensive Plan,1
Digital Tool,1
Causes and factors of failure,1
Foreign internet firms,1
Network effect,1
Patriotic tendencies,1
Perceived globalness,1
Sustainable business model,1
Collaborative software tools,1
Mathematical models,1
Good Practices,1
IS services,1
Nearshoring,1
Offshoring,1
Organizational Concepts,1
CIO-CMO relationship,1
Executive staff,1
Leadership strategy,1
component-based structural equation modelling,1
Organisational life cycle,1
organisational life cycle measures,1
psychometric properties,1
scale validation,1
board characteristics,1
risk-taking,1
Disaster recovery planning,1
Disaster recovery simulation,1
Emerging information technology,1
Fuzzy cognitive Maps,1
What-If analysis,1
digital fitness,1
maturity models,1
Leadership Styles,1
Qualitative Analysis,1
Resource Bundling,1
IT human capital,1
structural equation modelling,1
constructivism,1
human rights,1
international history,1
International humanitarian law,1
international society,1
responsibility to protect,1
Digital technologies,1
Digital services,1
Cybersecurity leadership,1
Information technology leadership development,1
Leadership complexity,1
commitment,1
Latin America,1
Motivation to lead,1
occupational culture,1
CIO role expectations instrument,1
Configuration of CIO roles,1
Duality of CIO roles,1
Repeated indicators approach,1
University libraries,1
USA,1
Information Technologies,1
business intelligence,1
competitive advantage,1
data quality,1
enterprise resource planning systems,1
exploitation learning,1
exploration learning,1
external support,1
integrated information systems,1
management accounting systems,1
management control systems,1
organizational learning,1
senior leadership,1
Leader,1
Leadership activities,1
Bulletin Board System,1
Civic Engagement,1
Digital Inclusion,1
Puget Sound Region,1
Board monitoring,1
Information Processing Theory,1
Management Earnings Forecasts,1
Agile management,1
Awards,1
Employee recognition,1
Employee retention,1
Management morale,1
Contextual,1
Level of abstraction,1
Organisational strategy,1
AI in business,1
Business management,1
Data-driven solutions,1
IT strategies,1
integration technology barriers,1
technology integration in higher education,1
technology integration in the classroom,1
technology integration models,1
Cyberattacks,1
Frequency disclosure,1
IS executives,1
sustainability,1
IT Capability,1
IT Support,1
Online Family Business,1
CIO Turnover,1
Competitors,1
Spillover effect,1
ERP post-implementation,1
Information system,1
PLS approach,1
Mixed Methods,1
International Financial Reporting Standards,1
Regulatory reform,1
BERT,1
Cybersecurity risks,1
data breaches,1
deep learning,1
IT employee turnover,1
Continuous deployment,1
Continuous integration,1
Electronic Health Records,1
Health Information System,1
change,1
keynote,1
Micro and meso level,1
Micro-foundation theory,1
Technology absorptive capacity,1
career variety,1
digital exploration,1
role tenure,1
upper echelons perspective,1
CEO overconfidence,1
industry competitiveness,1
firm characteristics,1
intellectual capital,1
R&D investments,1
Educational programmes,1
Networks of universities,1
Anxiety about pursuing school leadership,1
Leadership self-efficacy,1
Perceived role ambiguity,1
School leadership prototypes,1
Teachers,1
Collaborative IT Governance,1
Data Governance,1
Public Sector IT,1
Workforce Development,1
Assessment Prototype,1
IT Expertise,1
CO<sub>2</sub> forecasting,1
Digital decarbonization,1
Greenhouse gas emissions,1
Net zero,1
DSR,1
e-Government reference architecture,1
e-Government theory,1
Theory of practice,1
TOGAF,1
Common platforms,1
Government as a platform,1
Government digital services,1
Platform government,1
Digital business,1
Information system success model,1
Perceived usefulness,1
Demand,1
Job fit,1
LDA,1
Machine learning,1
Supply,1
Agile Software Development,1
Experiential Learning,1
Scrum,1
Software Engineering,1
Study Away,1
Bitcoin,1
Distributed database transactions,1
Ethereum,1
Extra-functional properties,1
Hyperledger fabric,1
Information systems applications,1
Software architecture,1
Software functional properties,1
IT manager's leadership,1
Quality of work life,1
Requisite soft skills,1
Transformational and transactional behaviors,1
Extension,1
Job Tenure,1
Replication,1
Turnover,1
IT Assessment,1
IT Strategic Grid,1
MMAF IT Role,1
Information Culture,1
Information Governance effectiveness,1
Information Governance of Higher Education Institution,1
Information Governance Processes,1
Organizational Culture,1
Business intelligence systems,1
Project management maturity,1
Technology acceptance model,1
Board leadership structure,1
upper echelons theory,1
Communities of practice,1
Government Chief Information Officers,1
Guidelines,1
Cyber capability,1
Digital tools,1
Infrastructure,1
Internet access,1
Network access,1
Rural communities,1
Configuration,1
Fuzzy-Set Qualitative Comparative Analysis (fsQCA),1
IT Ambidexterity,1
Mutual Communication,1
CIO reporting relationship,1
chief information office,1
Delphi,1
Q-sort,1
Information technology and business strategy alignment,1
Organization strategy,1
Strategic transformations,1
Strategy framework,1
Customer Relationship Management,1
Decision Maker,1
Purchasing Process,1
Social Medium,1
Chief information security officer,1
IT security governance,1
Reporting structure,1
Security breaches,1
COO,1
baseline,1
role,1
colored Petri nets,1
quantitative evaluation,1
risk assessment,1
security metrics,1
service migration,1
stochastic processes,1
climate-related information disclosure,1
Common institutional ownership,1
greenwashing,1
Cloud Implementation,1
Modernization Efforts,1
Open Innovation Approach,1
Quick Wins,1
health information exchange,1
Healthcare IT leadership,1
normative guidelines for HIEs,1
Customer management,1
Role play,1
Digital strategy,1
Digital transformations,1
Adoption of Technology,1
Business Value creation,1
Consumer technology,1
Technology Life Cycle,1
information system,1
public higher education institutions,1
SWOT analysis,1
Information technology outsourcing,1
Superordinate second-order construct,1
Bangladesh,1
Expert knowledge management,1
Hunch,1
Intuition,1
Revealed causal mapping,1
CIO appointment,1
stock market reaction,1
strategic positioning,1
Chief Financial Officer,1
Next generation,1
Risk management framework,1
|uYGAdsuslsG,1
Control Systems,1
Critical Infrastructure,1
Cyber Security Reference Architecture (CSRA),1
Defense-in-Depth,1
DiD,1
Machine Learning,1
ML,1
MOSAICS,1
Policy,1
RA,1
Reference Architecture,1
Zero Trust,1
ZT,1
Corporate Social Performance,1
Corporate Social Responsibility,1
Financial Resource,1
Innovative Culture,1
Labor Productivity,1
Business-IT strategic alignment process,1
CAS,1
Complex adaptive system,1
CIO profession,1
CIOs' role and tasks,1
Leavitt's model,1
remote working,1
work-from-home,1
Internationalization,1
Sustainable,1
Career Opportunities,1
Case Studies,1
contractors,1
Digital leaders,1
gender,1
strategy formulation,1
university,1
COVID-19 pandemic,1
Romania,1
Business informatics,1
Corporate performance management,1
Economics efficiency,1
Reference model,1
critical factors,1
ISO 38500,1
Bimodal,1
IT agile,1
IT lean,1
IT role,1
Organization dynamics,1
Share service,1
On-Demand,1
Executive turnover,1
Information security breach incidents,1
Big-Five,1
innovation for IT,1
personality traits,1
strategy,1
Technology readiness,1
Chief financial officer,1
Chief operating officer,1
Chief strategy officer,1
Chief technology officer,1
Strategic leadership,1
Online Product Businesses,1
Tobin’s q,1
Impact,1
Mechanisms,1
CIO characteristics,1
Structural capital,1
bibliometric analysis,1
main path analysis,1
research agenda,1
e-transformation in turkey,1
Perception survey,1
Statistical evaluation,1
Business-IT Alignment,1
COBIT,1
Effective Communication,1
IT Costs,1
Success Factors,1
Children's Education,1
Opportunities,1
Responses,1
Analytic network process (ANP),1
Control objectives for information and related technology (COBIT),1
IT roadmap,1
Technique for order of preference by similarity to ideal solution (TOPSIS),1
Hotels,1
Overcoming strategies,1
decision support,1
Decision Support System (DSS),1
Digital Business Pyramid,1
Enterprise Integration,1
data sharing,1
departmental collaboration,1
leadership ecosystem,1
local government data management,1
Bimodal IT,1
Dual IT structure,1
IT ambidexterity,1
Taxonomy,1
Change Agent,1
Change Agentry Model,1
Corporate,1
Tenure,1
Microsoft Power Platform,1
PowerApps,1
PowerAutomate,1
SharePoint,1
Competitive pressure,1
Digital investment,1
IT Innovation,1
Contingency theory,1
Process innovation capabilities,1
collaboration,1
consortium,1
enterprise resource planning,1
enterprise systems,1
"SMEs, TOE framework.",1
TOE framework.,1
It innovation,1
COVID reset,1
Emotional intelligence,1
IT skills,1
organizational citizenship behavior,1
soft skills,1
CIO competencies,1
IOT,1
Hierarchy-of-effects model (HOE),1
Information technology outsourcing (ITO),1
Directorate general of taxes,1
Tax return reporting,1
cognitive coordination,1
managerial games,1
metrics,1
performance measurement,1
shared cognition,1
transactive memory systems,1
trust,1
Leadership behaviour,1
Universities,1
data-driven leadership,1
industrial revolution,1
multiple directorships,1
creativity,1
fabrication,1
Khaldunian studies,1
Khaldunian text,1
Dilution effect,1
Internal audit,1
Judgment,1
Representativeness,1
Skeptical judgment,1
Skepticism,1
AI ethical,1
Awareness,1
Determinants and Consequence,1
Validation,1
Avoid Remote Project Management Mistakes,1
Building Strong Remote Teams,1
Change Management,1
Creating Good Remote Work Environments,1
Ethical Software Project,1
How to Build Good Remote Teams,1
How to Manage Expectations,1
How to Manage Remote Software Projects,1
Leadership Guide to Remote Software Project Management,1
Pragmatic Agile Leadership,1
Remote Agile Management,1
Too Mistakes in Managing Software Projects,1
Information technology Leadership,1
Information Technology Strategy,1
Organisational Culture,1
IT decision making and planning,1
Item refinement,1
DT,1
Digital Leaders,1
IT Function,1
AI and Big Data Adoption,1
Corporate Value,1
Digital Maturity,1
ESG Performance,1
Project Management,1
Smart Manufacturing,1
redundancy,1
signaling,1
Chief information office and higher education.,1
Ethnic imbalance,1
Gender imbalance,1
University administration,1
Green innovation,1
Data breach,1
Lawsuit,1
Malware,1
Target,1
Cloud computing adoption,1
Security concerns,1
Theory of planned behavior,1
CIO-Modelle,1
Deutsche Hochschulen und Universitäten,1
DFG,1
IT-Governance,1
multisourcing,1
sourcing decisions,1
sourcing outcomes,1
systematic literature review,1
top management teams,1
ABV,1
attention configuration,1
Chief Executive Officer,1
digital innovation,1
IT background,1
Artificial Intelligence (AI),1
Efficiency Impact,1
Public Service Delivery,1
BIS implementation challenges in small,1
BIS implementation in service industry,1
business intelligence solution implementation in start-ups,1
medium and large enterprises,1
sustainable growth,1
credentials,1
faculty,1
it faculty,1
it program leaders,1
"Jan Mendling, Brian T. Pentland, Jan Recker",1
process innovation capabilities,1
rework,1
system efficiency,1
system evaluation,1
system evaluation theory,1
systems,1
Cloud sourcing,1
IT development,1
IT maintenance,1
IT operations,1
Innovative Capability,1
employee turnover,1
federal IT workforce,1
organizational performance,1
organizational theory,1
Digital Security Governance,1
High Reliability Organizations,1
IS-security,1
Digital Transformation Responsibility,1
earnings management,1
Saudi Arabia,1
Cardholder data,1
Cardholder data environment,1
CDE,1
CHD,1
Encryption,1
MasterCard visa,1
Payment networks,1
Payments,1
PCI,1
PCI dream team,1
PCI DSS,1
ambidextrous leadership,1
cio strategic leadership,1
it-business alignment,1
knowledge integration.,1
Business leadership,1
Digital migration,1
Strategy development,1
Control,1
Profession,1
environmental turbulence,1
IT employees,1
organizational culture,1
CIO Role,1
IT Outsourcing,1
IT/IS Competences,1
IT/IS Function,1
IT/IS Organization,1
3d printing,1
additive manufacturing,1
am security,1
department of defense,1
dod,1
nist rmf,1
risk management framework,1
CDO role,1
Digital business transformation,1
Interpretive study,1
Profile,1
Prototype,1
data ecosystem,1
RDI-activities,1
universities of applied sciences,1
software development methodology,1
software engineering,1
software requirements,1
Software requirements management,1
Global software development,1
Software services,1
Bridging,1
Decoupling,1
Grafting,1
Institutional entrepreneurship,1
Logic of action,1
Organizational tensions,1
Entrepreneurial orientation,1
Saudi Arabian manufacturing firms,1
Strategic human resource management,1
Technology capability,1
Technology innovation,1
Information technology material weaknesses,1
SOX Section 404,1
Higher Education Institutional,1
IS Success Model,1
Agile Business,1
Consumerisation,1
Fuzzy set qualitative comparative analysis (fsQCA),1
TMT,1
Asset management,1
BIM,1
Data analysis,1
Collectivism,1
employee performance,1
ethical leadership,1
individualism,1
organizational citizenship behaviour,1
city,1
design methods,1
generalist,1
Intelligent,1
specialist,1
standards,1
Competency Framework,1
Core Competencies,1
Archi,1
ArchiMate,1
Enterprise Modeling,1
Recommender Systems,1
cyber-security,1
interviews,1
qualitative inquiry,1
Information Technology Leadership,1
Qualitative research,1
Digital Business Transformation,1
Digital Business Strategy,1
IT Alignment,1
Digital government strategy,1
Strategic value of IT,1
Composable enterprise,1
Enterprise business capability,1
Variable-scale data analysis,1
chief marketing officer,1
governance,1
marketing technology,1
social media strategy,1
Psychosocial characteristics,1
Global sourcing,1
human/computer interaction,1
IS management and governance,1
IS strategy and alignment,1
IT for competitive advantage,1
qualitative research,1
social and organisational impacts,1
Communication management,1
cloud,1
privacy,1
Analytical Hierarchy Process,1
Online Businesses,1
Strategic Alignment of IT and Businesses,1
change management,1
crosswalk,1
data validation,1
enterprise resource planning (ERP) systems,1
implementation,1
silo effect,1
Attack,1
Confidentiality,1
Cybercrime,1
Hospitality,1
Steganography,1
IT chargeback,1
IT–business strategic alignment,1
Ontologies,1
CIO Competencies,1
IT Professional,1
Social Representation Theory,1
Ambidextrous leadership,1
banking industry,1
digital transforming capabilities,1
organization culture,1
Business model innovation,1
Data analytics,1
IT metrics,1
insourcing,1
Asset security,1
Business continuity process,1
CISSP domains,1
CISSP Exam,1
CISSP Exam Prep,1
Disaster recovery,1
Security and Risk assessment,1
Security engineering,1
Security frameworks,1
Digital Innovation,1
Strategic Signal,1
Emergent leadership,1
Leadership development,1
Mentoring,1
Collaboration capability,1
Leadership capability,1
Supply chain resilience,1
Sustainable supply chain performance,1
Technologies,1
CIO Budgets,1
Government Growth,1
U.S. State Government,1
business acumen,1
emotional intelligence,1
practical intelligence,1
traditional management theory,1
E-Governance application,1
E-Government application,1
Performance analysis,1
Usability analysis,1
IS risk,1
Digital archives,1
Digital curation,1
Free and open-source software,1
Chief Information Security Officer,1
Power Dynamics,1
IT business value communication,1
IT business value measurement,1
Organizations,1
Operational capabilities,1
CAR,1
cost of data breach,1
Public disclosure,1
Clouds,1
Deployment,1
cloud adoption,1
operational capability,1
cities,1
survey,1
behavioral theory of the firm,1
performance aspiration,1
Influencers,1
Large Companies,1
Ranking,1
attributions,1
leadership behaviors,1
leadership meta-talk,1
romance of leadership,1
talking-doing gap,1
Fractional CIO,1
Interim management,1
Part-time management,1
Small businesses,1
Virtual CIO,1
Human resource development,1
Tourism,1
Business Performance,1
IT Governance Adoption,1
Online Stores,1
strategist CIO,1
Issue selling,1
curriculum,1
City,1
Municipality,1
Website,1
Innovation capability,1
R&D investment,1
Educational technology,1
CIO incentives,1
CISO (Chief Information Security Officer),1
