id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1139	information security	-0.8475	-0.0297	2	7	8	6	2018.3333	11.6667	0.8487
1161	information systems	0.1476	-0.4603	4	22	45	25	2009.76	32.36	1.5191
1170	information systems planning	0.0565	0.3792	2	6	8	7	2005.4286	92.1429	2.3264
1179	information technology	-0.1046	-0.2361	5	45	103	60	2012.75	15.45	0.9154
1218	innovation	-0.0809	-0.1271	5	16	22	14	2011.2143	20.6429	0.9783
1283	iot	-0.3733	-0.966	7	6	9	5	2020.2	1.6	0.0771
1301	is leadership	1.1237	-0.2231	3	14	25	9	2013.7778	73.1111	3.3902
1333	it	-0.5276	-0.4415	7	20	30	9	2018.2222	10.6667	0.7646
1345	it business value	-0.6051	0.8494	1	6	6	6	2017.1667	11.5	1.0284
1348	it capabilities	0.2598	0.672	6	8	9	9	2018.1111	12	1.0665
1379	it governance	0.0258	0.1987	1	33	58	38	2015.9737	18	1.0659
1389	it innovation	0.6484	-0.0341	3	10	10	5	2017.4	41	2.5749
1391	it investment	0.3243	0.6133	6	10	13	9	2016.1111	10.8889	0.5557
1395	it leadership	0.3059	0.1324	8	33	83	56	2016.9107	18.875	0.8131
1399	it management	0.1394	0.2245	6	19	37	21	2010.9524	29.381	0.8925
1451	it strategy	-0.1161	0.3117	2	13	22	12	2016.1667	10	0.8311
1526	knowledge management	-0.3519	0.346	1	14	16	13	2012.6154	4.3846	0.402
1548	leadership	-0.3288	0.1759	1	34	67	41	2014.4878	16.1951	1.5147
1590	local government	-0.7779	-0.2708	4	7	9	5	2018.8	10.6	0.5281
1605	management	-0.3379	0.0435	7	15	17	6	2012.8333	7	0.4123
1645	maturity	-0.6419	-0.0231	2	10	13	6	2012.3333	17.1667	1.5038
1647	maturity model	0.3806	0.8775	2	4	5	6	2015	7.8333	0.7147
1806	organizational culture	0.2527	-0.4978	3	8	9	8	2015	14.625	1.1187
1816	organizational performance	-0.3896	0.8986	1	5	7	6	2018	23	1.3057
1826	outsourcing	0.2904	-0.3594	5	7	12	14	2014	14.3571	0.8201
1944	project management	0.0868	-0.3456	5	21	24	15	2011.1333	16.4	1.1383
1969	public sector	0.2822	-0.6586	8	17	32	12	2016.9167	4.8333	0.4845
2060	resource-based view	-0.2847	0.6273	1	13	16	9	2015.7778	194.5556	6.1257
2078	risk assessment	-0.972	0.5081	1	5	5	5	2018.2	3	0.4002
2080	risk management	-0.668	0.1989	2	11	12	5	2016.2	9.4	0.6552
2101	roles	-0.6911	-0.5702	4	13	16	6	2014.5	13	0.9928
2135	security	-0.8343	0.5383	1	7	9	8	2016.75	9.75	0.6683
2178	shared understanding	1.4214	-0.2087	3	6	11	5	2011.8	93.4	4.6962
2189	skills	-0.0338	-0.8311	4	9	13	6	2012.1667	10.8333	1.3556
2197	smes	1.2108	0.6289	8	3	6	7	2019.2857	6.5714	0.409
2201	social capital	0.7546	-0.5792	3	9	12	5	2016.4	94.2	6.8797
2237	south africa	-0.4414	-0.8301	4	7	9	6	2019.6667	10.6667	1.4196
2264	strategic alignment	0.5412	-0.5555	3	11	16	8	2016.875	35.625	1.5779
2289	strategic management	0.785	-0.0126	5	11	16	5	2009.8	11.8	1.0933
2303	strategy	-0.2528	0.4668	7	9	12	8	2014.375	12.625	1.1034
2314	structural equation modeling	0.2065	0.303	2	11	17	8	2007.875	138.625	4.637
2318	structural power	0.4157	0.4958	6	6	8	5	2021.6	12.6	0.7174
2335	survey	-0.469	-0.0305	2	14	19	11	2012.4545	12.9091	0.8737
2341	sustainability	1.0594	-0.0987	5	5	8	6	2013.8333	16.6667	0.6154
2397	technology	-0.2808	-0.6072	5	13	23	10	2015.6	34.9	2.0803
2445	top management team	0.7656	0.181	3	25	52	20	2015.55	89.45	2.9562
2468	transformational leadership	0.779	-0.208	3	9	11	6	2016	8.8333	0.6185
2505	upper echelons theory	0.5303	0.6794	6	12	18	7	2021.5714	30.8571	1.6786
