id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
855	enterprise architecture	-0.7154	0.6245	5	9	19	16	2012.875	16.125	1.0204
887	erp	-0.0277	0.4421	5	15	25	11	2013.9091	6.8182	0.4044
912	event study	0.6354	-0.7498	4	9	13	7	2017	55.8571	0.9295
977	firm performance	-0.2008	-0.7251	4	20	33	18	2016.8889	30.5556	2.0729
1041	governance	-0.6973	-0.3875	3	17	24	11	2015.4545	10.8182	0.7433
1042	government	0.67	0.2991	7	9	16	6	2017.6667	4.5	0.3992
1062	green it	1.2559	0.1683	9	4	7	8	2011.625	30.625	1.5766
1095	health information technology	-0.9099	0.2697	3	10	11	7	2012.5714	14.5714	0.7769
1117	higher education	-0.2148	-0.0319	10	18	31	18	2017.4444	5.6111	0.5083
1139	hospitals	-0.7049	0.0807	3	9	12	12	2013.4167	28.75	1.64
1179	implementation	-0.0461	0.6991	6	10	15	7	2015.7143	7.7143	0.6028
1229	information governance	-0.8102	-0.3378	2	9	10	5	2017.2	55.8	2.6287
1240	information management	-0.1315	-0.0941	2	13	26	16	2009.0625	23.25	1.3543
1252	information security	-0.7657	0.2254	1	8	9	6	2018.3333	11.6667	0.7824
1277	information systems	0.2888	0.3392	5	22	45	25	2009.76	32.36	1.5769
1286	information systems planning	0.0939	-0.4854	2	6	8	7	2005.4286	92.1429	2.5592
1296	information technology	0.0544	0.1868	6	50	116	65	2012.8615	14.8615	0.9106
1337	innovation	0.266	0.1432	2	17	24	15	2011.6667	19.6	0.9208
1392	interoperability	-1.0316	0.42	3	5	7	5	2012.2	12	0.9903
1406	iot	-0.2913	0.9012	1	6	9	5	2020.2	1.6	0.0767
1425	is leadership	0.8414	0.294	6	15	26	9	2013.7778	73.1111	3.4834
1457	it	-0.3731	0.4864	1	22	34	10	2018	10.5	0.7501
1469	it business value	-0.7656	-0.6265	3	6	6	6	2017.1667	11.5	1.043
1472	it capabilities	0.3261	-0.6529	4	8	9	9	2018.1111	12	1.0755
1505	it governance	0.1552	-0.3074	2	34	60	40	2015.85	17.425	1.0603
1515	it innovation	0.7767	-0.4492	8	10	10	5	2017.4	41	2.7347
1517	it investment	0.31	-0.766	4	10	13	9	2016.1111	10.8889	0.5807
1521	it leadership	0.2626	-0.1777	7	35	87	58	2017.0345	18.3103	0.7873
1525	it management	0.1104	-0.1125	4	20	38	21	2010.9524	29.381	0.8989
1581	it strategy	-0.1959	-0.5958	1	13	23	13	2016.6154	9.2308	0.7679
1658	knowledge management	-0.3303	-0.3136	2	14	16	14	2012.5714	6.2143	0.5697
1680	leadership	-0.2675	-0.1664	3	35	71	44	2015.0455	15.1591	1.4919
1722	local government	-0.1969	0.5572	2	7	9	5	2018.8	10.6	0.5607
1738	management	-0.388	-0.1014	1	16	19	7	2013.4286	7.4286	0.4651
1779	maturity	-0.5174	-0.0059	1	10	13	6	2012.3333	17.1667	1.4918
1781	maturity model	0.2879	-1.0017	7	4	5	6	2015	7.8333	0.6422
1957	organizational culture	0.4384	0.4463	8	8	9	9	2015.6667	14.2222	1.127
1968	organizational performance	-0.4754	-0.84	2	5	7	6	2018	23	1.3472
1982	outsourcing	0.5138	0.2408	6	7	12	14	2014	14.3571	0.8768
2081	privacy	-1.0112	-0.0344	3	9	12	6	2015.1667	18.3333	1.2334
2115	project management	0.3844	0.25	6	21	24	15	2011.1333	16.4	1.2866
2141	public sector	0.5703	0.4331	7	18	33	12	2016.9167	4.8333	0.5292
2158	qualitative research	-1.1313	0.0392	3	4	6	5	2017.2	4.8	0.3908
2242	resource-based view	-0.3418	-0.5998	2	13	16	9	2015.7778	194.5556	6.2286
2261	risk assessment	-1.0903	-0.233	3	5	5	5	2018.2	3	0.3959
2263	risk management	-0.5897	-0.1443	1	11	12	5	2016.2	9.4	0.6882
2286	roles	-0.3198	0.7338	5	13	16	6	2014.5	13	1.0101
2320	security	-0.9902	-0.1911	3	9	14	10	2017.5	9.4	0.6252
2366	shared understanding	-0.1537	0.3595	3	7	12	5	2011.8	93.4	4.9028
2377	skills	0.4207	0.7638	5	9	13	6	2012.1667	10.8333	1.506
2385	smes	1.2201	-0.6813	7	3	6	7	2019.2857	6.5714	0.4308
2389	social capital	0.8949	0.3794	8	9	12	5	2016.4	94.2	7.0387
2427	south africa	0.157	0.9317	5	7	9	6	2019.6667	10.6667	1.4956
2457	strategic alignment	0.692	0.4424	8	11	16	8	2016.875	35.625	1.5824
2482	strategic management	0.9572	0.0429	9	11	16	5	2009.8	11.8	1.2619
2496	strategy	-0.3059	-0.435	10	9	12	8	2014.375	12.625	1.12
2507	structural equation modeling	0.2012	-0.5111	2	11	17	8	2007.875	138.625	4.5664
2511	structural power	0.1219	-0.8438	4	6	8	5	2021.6	12.6	0.7533
2528	survey	-0.3743	-0.0023	1	16	21	12	2012.25	13.4167	0.8746
2534	sustainability	1.3033	0.1547	9	5	8	6	2013.8333	16.6667	0.656
2591	technology	0.0499	0.629	6	15	29	13	2016.3846	27.7692	1.761
2644	top management team	0.545	-0.2993	4	25	52	20	2015.55	89.45	3.1837
2669	transformational leadership	0.9217	-0.3209	8	9	11	6	2016	8.8333	0.5851
2677	trust	-0.6857	0.3516	3	5	6	5	2015.2	13.2	1.1418
2708	upper echelons theory	0.4923	-0.6651	4	13	19	7	2021.5714	30.8571	1.7507
