keyword,count
Business process,1
Business/IT alignment,1
ICT service,1
Outsourcing,1
SPSPR,1
Innovation,1
It,1
Productivity,1
ISO 20000,1
ITIL,1
ITSM,1
Maturity Model,1
MPS.BR,1
Accounting firms,1
IT management practices,1
Business architecture,1
Business engineering,1
Business it alignment,1
It management,1
Systematic literature analysis,1
Construction management,1
Construction technology,1
Framework extension,1
IT management framework,1
IT-based competitive strategy framework,1
IT-business alignment,1
TOGAF ADM,1
Business growth,1
IS capabilities,1
Process models,1
Absorbency of information technology,1
Capability for innovative technology,1
Inside-out IT capability,1
IT management capability,1
AWS cloud,1
Cloud migration,1
Hybrid deployment model,1
Secure migration,1
Security,1
Enterprise systems,1
Higher education,1
Agile-system,1
Methodology,1
Electronic design automation,1
IEEE1685,1
IP-XACT,1
MCAPI,1
Meta-data,1
Multicore Association,1
Multiprocessor system-on-chip,1
Environmental uncertainty,1
IT investment,1
EFA,1
RFID,1
SMES,1
Taiwan,1
IT process evaluation,1
ITSM system,1
REA modeling,1
Process model,1
BCG matrix,1
Strategies,1
SWOT analysis,1
Information Systems,1
IS risk,1
IS value creation,1
hiring practices,1
institutional logics,1
IT management competences,1
IT sourcing,1
Cloud Services,1
Contract Management,1
Management as a service,1
Managing cloud services,1
the Internet of services,1
Indigenous microenterprise,1
IT therapy,1
Management of business informatics,1
Performance measurement,1
Malay SMEs,1
Management Capability,1
Management Capability Index,1
Management Skills and Competences,1
adoption,1
diffusion and implementation,1
enterprise systems,1
entrepreneurship,1
infrastructures and architectures,1
IS in developing countries,1
IS management and governance,1
IS strategy and alignment,1
Human dimension,1
IS and NT management,1
Three dimensional approach,1
Business performance,1
Business strategy,1
IT strategy,1
Investment,1
Management model,1
Empirical study,1
Enterprise architecture,1
Small and medium-sized enterprises (SME),1
Board of Investment (BOI),1
Information Technology,1
Medium Enterprise (SME),1
Small,1
Dynamic Capabilities,1
Strategic Alignment,1
Strategic IS Management,1
Strategic IS Planning,1
Theory Development,1
Data analysis method – sophisticated and advanced statistical analysis,1
Data collection method – survey (in-person interviews and written questionnaires),1
Industry 4.0 readiness or implementation or digital transformation,1
Technology management,1
Type of country – developed country,1
Type of firm – small and medium-sized enterprises,1
COBIT 5,1
Fostered MSMEs,1
Governance,1
Superior MSMEs,1
Case studies,1
IT outsourcing,1
Qualitative research,1
building information modeling,1
common data environment,1
information systems/management,1
project management,1
structural analysis design,1
structural life cycle assessment,1
Digital capability,1
Digital strategy,1
Small and Medium-sized Enterprises,1
Action research,1
Business process planning,1
Case study,1
Computer-mediated communication,1
Human-computer interaction,1
Knowledge artefacts,1
Public sector,1
Strategic IT management,1
Web-based database,1
Agile,1
DSR,1
Process improvement,1
business goals,1
COBIT 4.1,1
information system,1
internal perspective,1
Corporate social responsibility,1
Enterprise,1
Enterprise resource planning systems,1
Information systems management by objectives,1
Models of strategic management,1
Resource management,1
Strategic management,1
Survey,1
Sustainable development,1
Total quality management,1
TICs,1
CRM,1
PLM,1
IT capabilities,1
Strategic IT alignment,1
COBIT 2019,1
Higher Education,1
IT Alignment,1
Small and Medium Enterprise (SME),1
IT controlling,1
IT external expertise,1
IT leading,1
IT organising,1
IT planning,1
Small firms,1
Small to medium-sized enterprises,1
Engagement success,1
Q-methodology,1
Chief Information Officer,1
fractional CIO,1
small businesses,1
Enterprise IT management,1
